"Refs","Value","Footprint","Qty","DNP"
"D1","LED","","1",""
"J1","Conn_01x02_Socket","","1",""
"J2","USB_B_Micro","","1",""
"M2","","","1",""
"R1","R9.8K","","1",""
"R2","R9.8K","","1",""
"SW1","SW_Push","","1",""
"TH1","Thermistor_NTC","","1",""
